"","cond((Int))","disp((Int))","cond(Age)","cond(Cohort_plus)","cond(Cohort_prev)","cond(Number_prev)","cond(Age:Cohort_plus)","cond(Age:Cohort_prev)","cond(Age:Number_prev)","family","df","logLik","AICc","delta","weight"
"58",-1.71333191915103,"+","+",-1.3987181776085,NA,NA,"+",NA,NA,"logit",9,-5.74557017181872,30.7498816023787,0,0.974583148110533
"220",-0.988110921189482,"+","+",NA,NA,-1.76470940483841,NA,NA,"+","logit",9,-9.39473964057975,38.0482205399008,7.29833893752206,0.0253515626317606
"10",-3.1162019170239,"+","+",-0.218874482507571,NA,NA,NA,NA,NA,"logit",7,-18.0013411115261,50.7750960161557,20.025214413777,4.36916894510068e-05
"60",-1.80576623780058,"+","+",-1.47460339034547,NA,NA,"+",NA,NA,"cloglog",9,-16.5789154717976,52.4165722023364,21.6666905999577,1.92290050382253e-05
"112",-2.14569036887385,"+","+",NA,-1.39940366717023,NA,NA,"+",NA,"logit",9,-18.8782174271959,57.0151761131331,26.2652945107544,1.9292240255753e-06
"28",-3.28410349187906,"+","+",NA,NA,-0.0890043784299611,NA,NA,NA,"logit",7,-23.5109528149941,61.7943194230917,31.044437820713,1.76849924154925e-07
"222",-1.04264210810788,"+","+",NA,NA,-1.88009778716489,NA,NA,"+","cloglog",9,-21.2937594904762,61.8462602396937,31.096378637315,1.72316185752049e-07
"12",-3.41148792137304,"+","+",-0.165252084060627,NA,NA,NA,NA,NA,"cloglog",7,-24.8922947657906,64.5570033246846,33.8071217223059,4.44319824681938e-08
"59",-0.709939589670988,"+","+",-1.23297735697228,NA,NA,"+",NA,NA,"probit",9,-23.1400683528284,65.5388779643981,34.7889963620194,2.71947031207834e-08
"16",-3.1310581184036,"+","+",NA,-0.284483572366268,NA,NA,NA,NA,"logit",7,-26.0300096052617,66.8324330036268,36.0825514012481,1.42427028736766e-08
"221",-0.24923980594021,"+","+",NA,NA,-1.47326343594215,NA,NA,"+","probit",9,-25.0630654799965,69.3848722187342,38.6349906163555,3.97500135490748e-09
"114",-2.29785934664699,"+","+",NA,-1.45720337782063,NA,NA,"+",NA,"cloglog",9,-27.6781593892501,74.6150600372415,43.8651784348628,2.90814747723826e-10
"30",-3.5961402495823,"+","+",NA,NA,-0.0623982785631714,NA,NA,NA,"cloglog",7,-32.3134321566283,79.3992781063601,48.6493965039814,2.65911226236559e-11
"18",-3.46494247314283,"+","+",NA,-0.219627720852101,NA,NA,NA,NA,"cloglog",7,-33.1768052009202,81.1260241949438,50.3761425925651,1.12144640689122e-11
"113",-0.971038640568178,"+","+",NA,-1.32461157058993,NA,NA,"+",NA,"probit",9,-36.113442385684,91.4856260301093,60.7357444277306,6.31276420666088e-14
"11",-1.81967551093268,"+","+",-0.129090912891906,NA,NA,NA,NA,NA,"probit",7,-40.4273633472295,95.6271404875625,64.8772588851838,7.95978120375907e-15
"29",-1.94950262586033,"+","+",NA,NA,-0.0520614845514941,NA,NA,NA,"probit",7,-47.1332648616868,109.038943516477,78.2890619140984,9.74013791337658e-18
"17",-1.86251217203659,"+","+",NA,-0.16974022223906,NA,NA,NA,NA,"probit",7,-47.5514974434666,109.875408680037,79.125527077658,6.41104763553203e-18
"4",-3.57829765827154,"+","+",NA,NA,NA,NA,NA,NA,"logit",6,-61.2864324865084,135.14820743877,104.398325836392,2.08454119538704e-23
"6",-3.92069427874868,"+","+",NA,NA,NA,NA,NA,NA,"cloglog",6,-67.3659429870081,147.30722843977,116.557346837391,4.77213388085725e-26
"5",-2.16694828288729,"+","+",NA,NA,NA,NA,NA,NA,"probit",6,-79.988986910615,172.553316286984,141.803434684605,1.57251319508426e-31
"7",0.429591625457306,"+",NA,-0.149868189019035,NA,NA,NA,NA,NA,"logit",5,-132.896558981702,276.201281228711,245.451399626332,4.89468424707264e-54
"9",-0.067786759957208,"+",NA,-0.118369403719365,NA,NA,NA,NA,NA,"cloglog",5,-136.663366572887,283.73489641108,252.985014808702,1.13193354306337e-55
"13",0.370448034225783,"+",NA,NA,-0.200185081413387,NA,NA,NA,NA,"logit",5,-137.398772089712,285.20570744473,254.455825842351,5.42548256034271e-56
"8",0.271285839445364,"+",NA,-0.0933054954121956,NA,NA,NA,NA,NA,"probit",5,-139.167911486189,288.743986237685,257.994104635306,9.24934319633973e-57
"15",-0.108022911548228,"+",NA,NA,-0.156604725635369,NA,NA,NA,NA,"cloglog",5,-140.432265177038,291.272693619382,260.522812017004,2.61221586705313e-57
"14",0.224604859381325,"+",NA,NA,-0.12032674322851,NA,NA,NA,NA,"probit",5,-142.611085982828,295.630335230962,264.880453628584,2.95637288292673e-58
"25",0.0823908326981383,"+",NA,NA,NA,-0.0167634554919173,NA,NA,NA,"logit",5,-152.576326786583,315.560816838471,284.810935236093,1.38966499566136e-62
"3",-0.437005488654729,"+",NA,NA,NA,NA,NA,NA,NA,"cloglog",4,-154.077840847077,316.425951964424,285.676070362045,9.01671644937841e-63
"1",-0.0966953223215856,"+",NA,NA,NA,NA,NA,NA,NA,"logit",4,-154.077840847079,316.425951964428,285.67607036205,9.01671644935842e-63
"2",-0.060584312303864,"+",NA,NA,NA,NA,NA,NA,NA,"probit",4,-154.077840847279,316.425951964829,285.67607036245,9.01671644755197e-63
"27",-0.338422099671432,"+",NA,NA,NA,-0.00970385796032287,NA,NA,NA,"cloglog",5,-153.308874069921,317.025911405147,286.276029802769,6.67988330066312e-63
"26",0.012850622262239,"+",NA,NA,NA,-0.0068552567853161,NA,NA,NA,"probit",5,-153.576524164979,317.561211595265,286.811329992886,5.11128286380697e-63
